,cik,year,10-K,10-Q,10-KQ
0,20,1995,0,1,1
1,20,1996,1,1,2
2,20,1997,1,3,4
3,20,1998,0,3,3
4,20,1999,1,3,4
5,20,2000,0,3,3
6,20,2001,1,3,4
7,20,2002,0,3,3
8,20,2003,1,3,4
9,20,2004,1,3,4
10,20,2005,1,3,4
11,20,2006,1,3,4
12,20,2007,1,3,4
13,20,2008,1,3,4
14,20,2009,1,3,4
15,20,2010,1,0,1
16,1750,1995,0,1,1
17,1750,1996,0,2,2
18,1750,1997,0,3,3
19,1750,1998,0,3,3
20,1750,1999,0,3,3
21,1750,2000,0,3,3
22,1750,2001,0,3,3
23,1750,2002,1,3,4
24,1750,2003,1,3,4
25,1750,2004,1,3,4
26,1750,2005,1,3,4
27,1750,2006,1,3,4
28,1750,2007,1,3,4
29,1750,2008,1,4,5
30,1750,2009,1,3,4
31,1750,2010,1,3,4
32,1750,2011,1,3,4
33,1750,2012,1,3,4
34,1750,2013,1,3,4
35,1750,2014,1,3,4
36,1750,2015,1,3,4
37,1750,2016,1,3,4
38,1750,2017,1,3,4
39,1761,1995,0,1,1
40,1761,1996,0,2,2
41,1761,1997,1,3,4
42,1761,1998,0,1,1
43,1800,1995,0,1,1
44,1800,1996,0,1,1
45,1800,1997,1,3,4
46,1800,1998,1,3,4
47,1800,1999,1,3,4
48,1800,2000,0,3,3
49,1800,2001,1,3,4
50,1800,2002,0,3,3
51,1800,2003,1,3,4
52,1800,2004,1,3,4
53,1800,2005,1,3,4
54,1800,2006,1,3,4
55,1800,2007,1,3,4
56,1800,2008,1,3,4
57,1800,2009,1,3,4
58,1800,2010,1,6,7
59,1800,2011,1,3,4
60,1800,2012,1,3,4
61,1800,2013,1,3,4
62,1800,2014,1,3,4
63,1800,2015,1,3,4
64,1800,2016,1,3,4
65,1800,2017,1,3,4
66,1853,2008,0,3,3
67,1853,2009,1,3,4
68,1853,2010,1,2,3
69,1923,1995,0,1,1
70,1923,1996,0,2,2
71,1923,1997,0,3,3
72,1923,1998,1,3,4
73,1923,1999,1,3,4
74,1923,2000,0,3,3
75,1923,2001,1,3,4
76,1923,2002,1,2,3
77,1923,2003,1,3,4
78,1923,2004,1,3,4
79,1923,2005,1,3,4
80,1923,2006,1,3,4
81,1923,2007,1,3,4
82,1923,2008,1,3,4
83,1923,2009,1,3,4
84,1923,2010,1,3,4
85,1923,2011,1,1,2
86,1952,1995,0,1,1
87,1952,1996,0,1,1
88,1952,1997,1,3,4
89,1952,1998,1,4,5
90,1952,1999,1,3,4
91,1952,2000,1,1,2
92,1961,1996,1,0,1
93,1961,1997,1,3,4
94,1961,1999,0,1,1
95,1961,2008,0,2,2
96,1961,2009,1,3,4
97,1961,2010,1,3,4
98,1961,2011,1,3,4
99,1961,2012,1,4,5
