,id,FILING-DATE,CIK,CONFORMED-NAME,type,ASSIGNED-SIC,CITY,STATE,ZIP,filing-year,10k-min-year
0,13735440,2020-08-27,1745317,Graf Industrial Corp.,S-1,3569.0,HOUSTON,TX,77070,2020,2020.0
5,13735767,2020-08-27,1318268,Madison Technologies Inc.,S-1,1400.0,NORTH VANCOUVER,A1,V7R 4L8,2020,2020.0
17,13730660,2020-08-26,1620463,"Athira Pharma, Inc.",S-1,2836.0,SEATTLE,WA,981952141,2020,
19,13731458,2020-08-26,1818502,FG New America Acquisition Corp.,S-1,6770.0,ITASCA,IL,60143,2020,
20,13730195,2020-08-26,1793497,VS Trust,S-1,6221.0,MOUNT KISCO,NY,10549,2020,
28,13728011,2020-08-25,1321655,Palantir Technologies Inc.,S-1,7372.0,Palo Alto,CA,94301,2020,
32,13728816,2020-08-25,1818346,"Ribbit LEAP, Ltd.",S-1,6770.0,PALO ALTO,CA,64301,2020,
33,13727542,2020-08-25,1817868,Jupiter Acquisition Corp,S-1,6770.0,HOBE SOUND,FL,33455,2020,
39,13729735,2020-08-25,1818794,"Dyne Therapeutics, Inc.",S-1,2834.0,WALTHAM,MA,02451,2020,
40,13728712,2020-08-25,1819989,GOOD WORKS ACQUISITION CORP.,S-1,,HOUSTON,TX,77027,2020,
41,13727193,2020-08-25,736012,INTRUSION INC,S-1,3576.0,RICHARDSON,TX,75081,2020,2020.0
45,13724442,2020-08-24,1643269,"Sumo Logic, Inc.",S-1,7372.0,REDWOOD CITY,CA,94063,2020,
46,13726239,2020-08-24,1477720,"Asana, Inc.",S-1,7372.0,SAN FRANCISCO,CA,94103,2020,
48,13724457,2020-08-24,1819584,Tortoise Acquisition Corp. II,S-1,6770.0,LEAWOOD,KS,66211,2020,
52,13726007,2020-08-24,1796022,StepStone Group Inc.,S-1,6282.0,NEW YORK,NY,10017,2020,
53,13724736,2020-08-24,1527508,Pactiv Evergreen Inc.,S-1,2673.0,Auckland 1140 New Zealand,Q2,00000,2020,
54,13725770,2020-08-24,1800667,JFrog Ltd,S-1,7372.0,SUNNYVALE,CA,94089,2020,
55,13725007,2020-08-24,1640147,Snowflake Inc.,S-1,7372.0,SAN MATEO,CA,94402,2020,
56,13725537,2020-08-24,1634379,"Metacrine, Inc.",S-1,2834.0,CARLSBAD,CA,92010,2020,
57,13724277,2020-08-24,1810806,Unity Software Inc.,S-1,7372.0,SAN FRANCISCO,CA,94103,2020,
59,13725828,2020-08-24,1816261,Executive Network Partnering Corp,S-1,6770.0,BOSTON,MA,02116,2020,
65,13726154,2020-08-24,1816708,Sandbridge Acquisition Corp,S-1,6770.0,LOS ANGELES,CA,90067,2020,
69,13726968,2020-08-24,1393584,American Well Corp,S-1,7389.0,Boston,MA,02109,2020,
72,13722932,2020-08-21,1031308,BENTLEY SYSTEMS INC,S-1,7372.0,EXTON,PA,19341,2020,
75,13722178,2020-08-21,1795139,Green Thumb Industries Inc.,S-1,100.0,CHICAGO,IL,60654,2020,2020.0
76,13722955,2020-08-21,1816048,Software Acquisition Group Inc. II,S-1,6770.0,LAS VEGAS,NV,89135,2020,
77,13723217,2020-08-21,914139,PARKERVISION INC,S-1,3663.0,JACKSONVILLE,FL,32256,2020,2020.0
78,13723027,2020-08-21,1484612,"Outset Medical, Inc.",S-1,3845.0,SAN JOSE,CA,95112,2020,
80,13722028,2020-08-21,1621672,"Super League Gaming, Inc.",S-1,7900.0,SANTA MONICA,CA,90404,2020,2020.0
82,13721828,2020-08-21,1743759,"Corsair Gaming, Inc.",S-1,3577.0,FREMONT,CA,94538,2020,
84,13719573,2020-08-20,205402,GRAYBAR ELECTRIC CO INC,S-1,5063.0,ST LOUIS,MO,63177,2020,2020.0
87,13721502,2020-08-20,1582982,"MTBC, Inc.",S-1,7372.0,SOMERSET,NJ,08873,2020,2020.0
88,13720499,2020-08-20,1059784,GENEREX BIOTECHNOLOGY CORP,S-1,2834.0,MIRAMAR,FL,33025,2020,
90,13719538,2020-08-20,1490054,APPIPHANY TECHNOLOGIES HOLDINGS CORP,S-1,7371.0,SALT LAKE CITY,UT,84111,2020,2020.0
100,13716305,2020-08-18,1814215,Tailwind Acquisition Corp.,S-1,6770.0,BRIDGEHAMPTON,NY,11932,2020,
101,13716318,2020-08-18,1553788,"SPLASH BEVERAGE GROUP, INC.",S-1,2080.0,FORT LAUDERDALE,FL,33301,2020,2020.0
104,13714855,2020-08-18,1821318,OTR Acquisition Corp.,S-1,,MIAMI,FL,33131,2020,
108,13716160,2020-08-18,1498233,Growth Capital Acquisition Corp.,S-1,6770.0,NEW YORK,NY,10174,2020,
110,13716700,2020-08-18,1794515,ZoomInfo Technologies Inc.,S-1,7372.0,VANCOUVER,WA,98660,2020,
111,13716717,2020-08-18,1794905,STARBOARD VALUE ACQUISITION CORP.,S-1,6770.0,NEW YORK,NY,10017,2020,
